,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
5160,Piubega,0.0,297.0,206.0,411.0,268.0,23.0,10.0,0.0,23919305.0
5161,Piuro,0.0,542.0,172.0,326.0,197.0,20.0,13.0,10.0,21872365.0
5162,Piverone,0.0,241.0,126.0,299.0,255.0,21.0,17.0,9.0,21916534.0
5163,Pizzale,0.0,116.0,62.0,199.0,148.0,5.0,0.0,0.0,10890535.0
5164,Pizzighettone,0.0,895.0,583.0,1737.0,1284.0,106.0,54.0,26.0,109524071.0
5165,Pizzo,0.0,2389.0,694.0,1102.0,1004.0,76.0,62.0,15.0,90559521.0
5166,Pizzoferrato,0.0,296.0,137.0,240.0,126.0,4.0,0.0,0.0,12279099.0
5167,Pizzoli,0.0,847.0,384.0,849.0,612.0,35.0,22.0,10.0,53029915.0
5168,Pizzone,0.0,126.0,27.0,60.0,43.0,0.0,0.0,0.0,3399774.0
5169,Pizzoni,0.0,389.0,148.0,119.0,42.0,0.0,0.0,0.0,7244183.0
5170,Placanica,0.0,348.0,112.0,143.0,50.0,0.0,0.0,0.0,7515487.0
5171,Plataci,0.0,258.0,118.0,105.0,18.0,0.0,0.0,0.0,5278799.0
5172,Platania,0.0,629.0,217.0,229.0,97.0,10.0,9.0,0.0,14633614.0
5173,Platì,0.0,1533.0,456.0,407.0,61.0,0.0,0.0,0.0,25353975.0
5174,Plaus/Plaus,0.0,205.0,76.0,159.0,136.0,14.0,6.0,0.0,11344224.0
5175,Plesio,0.0,199.0,78.0,179.0,122.0,4.0,4.0,0.0,10230204.0
5176,Ploaghe,0.0,1017.0,418.0,875.0,541.0,37.0,16.0,9.0,51243699.0
5177,Plodio,0.0,104.0,48.0,152.0,141.0,15.0,5.0,5.0,11149912.0
5178,Pocapaglia,0.0,524.0,309.0,831.0,609.0,59.0,39.0,27.0,57354390.0
5179,Pocenia,0.0,465.0,278.0,700.0,322.0,16.0,12.0,4.0,33767986.0
5180,Podenzana,0.0,401.0,197.0,477.0,344.0,15.0,14.0,5.0,28887017.0
5181,Podenzano,0.0,1454.0,800.0,2383.0,1855.0,163.0,94.0,50.0,158219158.0
5182,Pofi,0.0,932.0,439.0,787.0,365.0,12.0,5.0,0.0,39145458.0
5183,Poggiardo,0.0,1637.0,627.0,939.0,616.0,52.0,22.0,12.0,61924555.0
5184,Poggibonsi,0.0,5075.0,2868.0,7846.0,4592.0,435.0,284.0,115.0,456617075.0
5185,Poggio Bustone,0.0,460.0,222.0,451.0,228.0,14.0,5.0,0.0,22652557.0
5186,Poggio Catino,0.0,236.0,149.0,214.0,167.0,12.0,13.0,4.0,15634428.0
5187,Poggio Imperiale,0.0,748.0,290.0,360.0,192.0,5.0,5.0,0.0,21355353.0
5188,Poggio Mirteto,0.0,1290.0,631.0,1051.0,888.0,62.0,40.0,18.0,76904842.0
5189,Poggio Moiano,0.0,589.0,279.0,566.0,330.0,22.0,19.0,0.0,31962636.0
5190,Poggio Nativo,0.0,613.0,284.0,471.0,313.0,13.0,15.0,5.0,29747037.0
5191,Poggio Picenze,0.0,198.0,97.0,256.0,151.0,12.0,6.0,0.0,13671247.0
5192,Poggio Renatico,0.0,1500.0,1044.0,2791.0,1754.0,114.0,70.0,17.0,153169073.0
5193,Poggio Rusco,0.0,1338.0,665.0,1696.0,1011.0,91.0,66.0,28.0,100963201.0
5194,Poggio San Lorenzo,0.0,138.0,56.0,88.0,87.0,6.0,4.0,0.0,6858362.0
5195,Poggio San Marcello,0.0,139.0,58.0,184.0,80.0,0.0,0.0,0.0,7827130.0
5196,Poggio San Vicino,0.0,54.0,41.0,64.0,19.0,0.0,0.0,0.0,2701353.0
5197,Poggio Sannita,0.0,240.0,85.0,83.0,27.0,0.0,0.0,0.0,4825343.0
5198,Poggio Torriana,0.0,1111.0,533.0,1309.0,663.0,40.0,32.0,16.0,69110869.0
5199,Poggio a Caiano,0.0,1965.0,1030.0,2304.0,1548.0,187.0,109.0,77.0,162480719.0
5200,Poggiodomo,0.0,23.0,14.0,31.0,18.0,0.0,0.0,0.0,1471720.0
